Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
00921,37696.0,36.8,18272.0,11812.0,17331.0,45.97570033955857,14692.0,2108.0,14.347944459569835
00923,26591.0,38.8,14773.0,9642.0,14535.0,54.66135158512279,10507.0,2509.0,23.879318549538404
00924,54584.0,36.8,18543.0,11667.0,25852.0,47.36186428257365,21487.0,4238.0,19.723553776702193
00925,6899.0,32.2,10332.0,9967.0,3924.0,56.877808378025804,3436.0,711.0,20.69266589057043
00926,104645.0,40.8,32636.0,21026.0,30563.0,29.20636437479096,45611.0,4265.0,9.350814496503036
00927,14447.0,46.8,30507.0,26102.0,4085.0,28.27576659514086,6218.0,723.0,11.627532968800256
00934,67.0,38.7,65938.0,50193.0,0.0,0.0,36.0,0.0,0.0
00936,731.0,59.2,,10190.0,0.0,0.0,0.0,0.0,
00949,78552.0,37.7,24400.0,12255.0,29245.0,37.23011508300234,34327.0,6359.0,18.524776415066857
00950,0.0,,,,0.0,,0.0,0.0,
00951,15.0,,,,15.0,100.0,8.0,0.0,0.0
00952,9363.0,40.4,17697.0,9221.0,4081.0,43.586457332051694,3923.0,806.0,20.545500892174356
00953,73099.0,35.9,30278.0,13896.0,22814.0,31.209729271262262,31257.0,4951.0,15.839651917970375
00956,74529.0,38.9,22411.0,11068.0,28890.0,38.76343436782997,31581.0,5949.0,18.83727557708749
00957,43336.0,38.3,23353.0,11911.0,16530.0,38.14380653498246,16604.0,2851.0,17.170561310527585
00959,48168.0,40.1,27478.0,14960.0,14486.0,30.073907988706196,21884.0,2713.0,12.39718515810638
00960,2355.0,32.8,,6143.0,17.0,0.721868365180467,0.0,0.0,
00961,30978.0,41.4,29180.0,16367.0,8911.0,28.765575569759182,12726.0,1794.0,14.097123998114098
00962,20975.0,35.5,16035.0,9063.0,11477.0,54.717520858164484,8633.0,2886.0,33.42986215684003
00965,8483.0,38.5,16333.0,9652.0,4262.0,50.24165979016857,3638.0,911.0,25.041231445849366
00966,16058.0,42.8,50772.0,35940.0,2966.0,18.47054427699589,7378.0,653.0,8.850637029005151
00968,3492.0,56.7,46206.0,39984.0,336.0,9.621993127147766,1658.0,107.0,6.453558504221954
00969,43021.0,40.6,52970.0,27696.0,6927.0,16.10143883219823,20005.0,1509.0,7.543114221444639
00971,29095.0,41.5,21854.0,13801.0,11147.0,38.31242481526036,13357.0,2512.0,18.80661825260163
00976,61762.0,37.9,29368.0,15740.0,18484.0,29.92778731258703,25784.0,2023.0,7.845950977350295
00979,15234.0,49.1,36592.0,28216.0,2811.0,18.452146514375737,7843.0,577.0,7.356878745378044
00982,15029.0,42.1,25557.0,13221.0,5163.0,34.35358307272606,6296.0,918.0,14.580686149936467
00983,39407.0,38.8,26695.0,13872.0,12279.0,31.15943867840739,17193.0,2585.0,15.035188739603328
00985,33653.0,41.4,22995.0,12941.0,11496.0,34.16040174724393,14159.0,2496.0,17.62836358499894
00987,60377.0,36.6,31698.0,14797.0,16807.0,27.836759030756745,27740.0,4011.0,14.459264599855803
01001,17438.0,44.5,60161.0,30044.0,1248.0,7.156784034866384,9584.0,641.0,6.688230383973289
01002,29780.0,23.4,50540.0,26130.0,8124.0,27.28005372733378,16276.0,1299.0,7.981076431555665
01003,11241.0,19.9,,3855.0,44.0,0.3914242505115203,5375.0,950.0,17.674418604651162
01005,5201.0,43.3,68786.0,30325.0,270.0,5.191309363583926,2935.0,226.0,7.7001703577512775
01007,14838.0,42.2,76881.0,34278.0,1355.0,9.13195848497102,8367.0,491.0,5.868292099916338
01008,1171.0,49.3,70417.0,33040.0,45.0,3.842869342442357,722.0,54.0,7.479224376731302
01009,429.0,55.6,40833.0,20360.0,148.0,34.4988344988345,263.0,63.0,23.954372623574145
01010,3695.0,45.8,87961.0,38412.0,118.0,3.1935047361299054,2311.0,110.0,4.759844223279965
