,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
2601,10701,Yonkers,New York,NY,Westchester,40.9461,-73.8669,59884.0,950.0,10196.0,1223.0,3137.0,5465.0,3065.0,774.0,162.0
2602,10703,Yonkers,New York,NY,Westchester,40.9518,-73.8852,20856.0,246.0,3464.0,594.0,1170.0,2306.0,1387.0,202.0,61.0
2603,10704,Yonkers,New York,NY,Westchester,40.9176,-73.8593,31321.0,327.0,6218.0,696.0,1736.0,4369.0,2235.0,294.0,147.0
2604,10705,Yonkers,New York,NY,Westchester,40.9177,-73.895,40392.0,999.0,5647.0,974.0,1743.0,3913.0,1828.0,413.0,216.0
2605,10706,Hastings On Hudson,New York,NY,Westchester,40.9878,-73.863,8713.0,6.0,613.0,13.0,160.0,1788.0,1603.0,773.0,397.0
2606,10707,Tuckahoe,New York,NY,Westchester,40.9569,-73.8198,10653.0,41.0,1155.0,139.0,594.0,1994.0,1530.0,266.0,193.0
2607,10708,Bronxville,New York,NY,Westchester,40.9391,-73.8353,22178.0,119.0,2055.0,183.0,764.0,4582.0,3290.0,1385.0,467.0
2608,10709,Eastchester,New York,NY,Westchester,40.955,-73.8086,9357.0,85.0,1153.0,77.0,531.0,1704.0,994.0,334.0,86.0
2609,10710,Yonkers,New York,NY,Westchester,40.9656,-73.8434,27628.0,313.0,4532.0,484.0,1469.0,4563.0,2681.0,414.0,300.0
2610,10801,New Rochelle,New York,NY,Westchester,40.9166,-73.7877,41577.0,630.0,5970.0,727.0,1767.0,4537.0,2745.0,797.0,322.0
2611,10803,Pelham,New York,NY,Westchester,40.9045,-73.8073,12560.0,42.0,1227.0,74.0,326.0,2451.0,1708.0,770.0,259.0
2612,10804,New Rochelle,New York,NY,Westchester,40.9491,-73.7863,14795.0,43.0,682.0,46.0,323.0,3077.0,2563.0,1616.0,493.0
2613,10805,New Rochelle,New York,NY,Westchester,40.9002,-73.781,18799.0,279.0,3073.0,368.0,922.0,2616.0,1419.0,201.0,211.0
2614,10901,Suffern,New York,NY,Rockland,41.1177,-74.1241,23235.0,219.0,3103.0,308.0,1156.0,3934.0,3023.0,730.0,354.0
2615,10910,Arden,New York,NY,Orange,41.3862,-74.1257,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
2616,10911,Bear Mountain,New York,NY,Rockland,41.1609,-74.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2617,10913,Blauvelt,New York,NY,Rockland,41.0626,-73.9629,5302.0,24.0,525.0,102.0,215.0,933.0,615.0,156.0,55.0
2618,10914,Blooming Grove,New York,NY,Orange,41.4093,-74.1951,366.0,0.0,0.0,34.0,15.0,28.0,61.0,0.0,0.0
2619,10915,Bullville,New York,NY,Orange,41.5443,-74.3615,104.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2620,10916,Campbell Hall,New York,NY,Orange,41.443000000000005,-74.2505,4238.0,9.0,708.0,102.0,245.0,601.0,213.0,77.0,48.0
2621,10917,Central Valley,New York,NY,Orange,41.3268,-74.122,2030.0,0.0,436.0,11.0,50.0,157.0,217.0,23.0,53.0
2622,10918,Chester,New York,NY,Orange,41.3554,-74.2651,12258.0,46.0,2015.0,214.0,882.0,1697.0,907.0,143.0,84.0
2623,10919,Circleville,New York,NY,Orange,41.5244,-74.385,1405.0,11.0,261.0,65.0,38.0,90.0,133.0,0.0,0.0
2624,10920,Congers,New York,NY,Rockland,41.1487,-73.9413,8946.0,40.0,1080.0,47.0,525.0,1488.0,1018.0,124.0,87.0
2625,10921,Florida,New York,NY,Orange,41.3295,-74.3528,3861.0,7.0,681.0,92.0,272.0,530.0,326.0,42.0,10.0
2626,10922,Fort Montgomery,New York,NY,Orange,41.3346,-73.9917,1347.0,0.0,271.0,13.0,97.0,274.0,157.0,6.0,0.0
2627,10923,Garnerville,New York,NY,Rockland,41.2021,-74.0005,8473.0,88.0,1199.0,270.0,743.0,991.0,575.0,131.0,48.0
2628,10924,Goshen,New York,NY,Orange,41.3946,-74.3302,13255.0,77.0,2204.0,236.0,1020.0,2209.0,927.0,254.0,122.0
2629,10925,Greenwood Lake,New York,NY,Orange,41.2101,-74.3033,4330.0,0.0,857.0,107.0,534.0,392.0,338.0,0.0,21.0
2630,10926,Harriman,New York,NY,Orange,41.3005,-74.1249,3370.0,79.0,541.0,28.0,261.0,491.0,330.0,55.0,38.0
2631,10927,Haverstraw,New York,NY,Rockland,41.1971,-73.969,12094.0,130.0,1698.0,469.0,559.0,1088.0,554.0,128.0,38.0
2632,10928,Highland Falls,New York,NY,Orange,41.3582,-73.9746,4066.0,17.0,642.0,107.0,303.0,645.0,323.0,41.0,97.0
2633,10930,Highland Mills,New York,NY,Orange,41.3536,-74.1197,9021.0,110.0,966.0,45.0,680.0,1383.0,894.0,253.0,106.0
2634,10931,Hillburn,New York,NY,Rockland,41.123999999999995,-74.1702,926.0,0.0,167.0,49.0,52.0,91.0,50.0,11.0,5.0
2635,10932,Howells,New York,NY,Orange,41.4852,-74.4842,100.0,0.0,17.0,0.0,0.0,26.0,24.0,0.0,0.0
2636,10933,Johnson,New York,NY,Orange,41.3653,-74.5109,809.0,0.0,67.0,18.0,29.0,95.0,35.0,0.0,0.0
2637,10940,Middletown,New York,NY,Orange,41.4512,-74.4701,48651.0,455.0,8077.0,1745.0,3212.0,4345.0,2086.0,352.0,147.0
2638,10941,Middletown,New York,NY,Orange,41.4886,-74.345,13301.0,153.0,2121.0,404.0,1007.0,1508.0,722.0,70.0,61.0
2639,10950,Monroe,New York,NY,Orange,41.3286,-74.1885,49065.0,280.0,5897.0,626.0,2130.0,4745.0,1943.0,398.0,98.0
2640,10952,Monsey,New York,NY,Rockland,41.1163,-74.0736,41891.0,300.0,5952.0,398.0,738.0,2678.0,1990.0,498.0,282.0
