Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
84631,3310.0,8.0,649.0,72.0,172.0,170.0,73.0,7.0,8.0
84632,989.0,10.0,194.0,24.0,78.0,81.0,16.0,2.0,0.0
84633,1049.0,8.0,138.0,28.0,89.0,77.0,21.0,0.0,0.0
84634,3256.0,0.0,703.0,93.0,196.0,165.0,88.0,2.0,31.0
84635,703.0,0.0,103.0,12.0,60.0,46.0,12.0,0.0,0.0
84636,414.0,0.0,40.0,6.0,27.0,65.0,4.0,1.0,1.0
84637,570.0,2.0,118.0,22.0,35.0,30.0,20.0,2.0,1.0
84638,327.0,0.0,24.0,0.0,27.0,50.0,12.0,2.0,0.0
84639,864.0,0.0,259.0,20.0,40.0,45.0,13.0,0.0,0.0
84640,154.0,0.0,20.0,2.0,13.0,53.0,3.0,9.0,0.0
84642,3389.0,27.0,375.0,49.0,219.0,313.0,137.0,18.0,18.0
84643,416.0,0.0,70.0,4.0,31.0,58.0,21.0,0.0,6.0
84645,2908.0,2.0,444.0,51.0,148.0,187.0,43.0,10.0,0.0
84646,1949.0,7.0,238.0,14.0,152.0,110.0,35.0,36.0,0.0
84647,4199.0,11.0,693.0,50.0,243.0,333.0,165.0,24.0,44.0
84648,5768.0,12.0,906.0,111.0,539.0,383.0,127.0,15.0,0.0
84649,983.0,0.0,82.0,4.0,106.0,92.0,17.0,0.0,1.0
84651,24276.0,183.0,2692.0,407.0,1653.0,2298.0,661.0,124.0,76.0
84652,789.0,0.0,175.0,16.0,44.0,28.0,46.0,2.0,0.0
84653,8315.0,18.0,822.0,112.0,567.0,1003.0,380.0,96.0,132.0
84654,2601.0,0.0,502.0,135.0,114.0,95.0,35.0,13.0,15.0
84655,11531.0,44.0,1373.0,125.0,574.0,929.0,274.0,50.0,5.0
84656,408.0,0.0,102.0,15.0,37.0,44.0,0.0,0.0,4.0
84657,642.0,0.0,140.0,7.0,13.0,14.0,7.0,0.0,0.0
84660,40257.0,62.0,4181.0,529.0,2606.0,3949.0,1177.0,284.0,298.0
84662,1022.0,0.0,133.0,7.0,61.0,85.0,46.0,8.0,14.0
84663,31708.0,48.0,2510.0,288.0,1641.0,4105.0,1331.0,171.0,393.0
84664,8788.0,0.0,640.0,36.0,517.0,1260.0,434.0,129.0,102.0
84665,414.0,0.0,106.0,2.0,47.0,39.0,18.0,5.0,0.0
84667,344.0,0.0,40.0,8.0,44.0,17.0,26.0,0.0,0.0
84701,8838.0,27.0,1359.0,208.0,441.0,622.0,255.0,24.0,31.0
84710,128.0,0.0,10.0,0.0,12.0,9.0,4.0,3.0,1.0
84711,699.0,5.0,80.0,7.0,60.0,60.0,31.0,0.0,11.0
84712,213.0,0.0,42.0,7.0,26.0,21.0,4.0,0.0,25.0
84713,3576.0,5.0,627.0,124.0,150.0,257.0,94.0,12.0,13.0
84714,532.0,0.0,84.0,9.0,22.0,18.0,69.0,0.0,0.0
84715,444.0,5.0,104.0,0.0,27.0,65.0,20.0,0.0,28.0
84716,170.0,0.0,23.0,0.0,18.0,35.0,13.0,3.0,3.0
84718,210.0,0.0,52.0,0.0,7.0,21.0,15.0,0.0,0.0
84719,60.0,0.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0
84720,20210.0,3.0,1844.0,280.0,1063.0,2486.0,919.0,217.0,194.0
84721,21782.0,39.0,2607.0,538.0,923.0,1874.0,765.0,74.0,115.0
84722,742.0,0.0,152.0,31.0,82.0,94.0,11.0,0.0,7.0
84723,870.0,2.0,213.0,21.0,55.0,85.0,40.0,0.0,0.0
84724,1089.0,7.0,222.0,47.0,84.0,64.0,6.0,0.0,0.0
84725,1779.0,0.0,229.0,4.0,103.0,113.0,49.0,8.0,26.0
84726,801.0,0.0,160.0,16.0,59.0,79.0,51.0,0.0,11.0
84728,71.0,0.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0
84729,284.0,0.0,36.0,9.0,26.0,22.0,15.0,0.0,0.0
84730,195.0,2.0,28.0,2.0,16.0,8.0,12.0,8.0,0.0
84731,216.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
84732,27.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0
84733,233.0,0.0,44.0,0.0,0.0,57.0,0.0,0.0,0.0
84734,151.0,0.0,35.0,0.0,9.0,1.0,0.0,0.0,0.0
84735,254.0,0.0,53.0,15.0,30.0,25.0,4.0,0.0,0.0
84736,252.0,0.0,62.0,0.0,8.0,13.0,3.0,0.0,0.0
84737,16143.0,58.0,2570.0,461.0,1036.0,1461.0,658.0,60.0,75.0
84738,7642.0,37.0,1163.0,64.0,619.0,904.0,361.0,162.0,56.0
84739,549.0,1.0,106.0,10.0,40.0,12.0,14.0,0.0,2.0
